Kennziffer;Raumeinheit;Aggregat;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"711,1";"727,3";"633,2";"704,6";"613,6";"745,1";"576,4";"628,6";"561,7";"552,0";"578,1";"626,9";"806,8";"770,7";"636,4";"662,0";"778,3";"778,4";"752,9";"658,3";"740,8";"821,8";"909,2"
"05334";"Städteregion Aachen";"Landkreis";"452,7";"446,6";"458,9";"492,5";"511,9";"533,5";"475,8";"473,2";"456,1";"476,3";"482,5";"550,5";"591,0";"611,7";"576,8";"569,7";"678,7";"682,5";"688,6";"694,3";"714,1";"757,1";"819,9"
"05358";"Düren";"Landkreis";"457,1";"438,8";"451,4";"488,9";"519,4";"486,3";"471,8";"437,6";"447,7";"426,0";"433,9";"501,5";"573,3";"588,9";"552,7";"566,6";"619,6";"618,8";"619,1";"666,4";"705,1";"690,0";"768,3"
"05362";"Rhein-Erft-Kreis";"Landkreis";"579,9";"545,6";"543,6";"563,8";"610,5";"591,9";"596,8";"513,9";"535,7";"519,6";"563,4";"673,4";"711,9";"705,6";"653,4";"683,5";"712,2";"726,9";"750,1";"774,1";"846,1";"840,3";"944,3"
"05366";"Euskirchen";"Landkreis";"430,4";"420,9";"430,0";"458,4";"461,9";"479,2";"448,2";"427,2";"422,4";"416,6";"455,8";"491,6";"520,5";"604,3";"533,6";"505,8";"586,4";"605,4";"607,8";"660,9";"645,9";"719,1";"765,8"
"05370";"Heinsberg";"Landkreis";"377,9";"368,5";"359,6";"379,5";"425,6";"402,6";"380,2";"377,3";"382,2";"400,9";"400,1";"464,4";"474,3";"521,5";"494,2";"507,2";"539,5";"570,7";"564,1";"596,5";"614,5";"639,7";"693,0"
"05374";"Oberbergischer Kreis";"Landkreis";"491,8";"480,7";"491,1";"529,3";"529,6";"529,1";"488,0";"479,1";"448,8";"482,5";"508,5";"564,2";"634,1";"698,0";"602,7";"556,7";"693,8";"755,2";"747,7";"738,0";"757,6";"801,8";"848,2"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"556,6";"539,9";"517,4";"553,3";"575,1";"583,9";"543,3";"529,2";"532,1";"524,1";"540,2";"603,9";"649,0";"738,4";"638,2";"623,7";"643,2";"719,6";"748,2";"749,1";"795,5";"837,3";"865,9"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"494,3";"469,3";"474,2";"485,7";"508,4";"516,2";"500,6";"473,0";"492,2";"482,9";"482,3";"524,9";"592,6";"636,1";"599,7";"575,4";"630,7";"694,3";"695,8";"725,5";"764,9";"783,9";"823,1"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"391,6";"375,6";"372,3";"405,9";"422,7";"429,1";"399,8";"385,2";"385,5";"393,1";"384,3";"424,7";"480,3";"513,2";"478,3";"473,7";"489,4";"535,8";"533,7";"555,7";"608,9";"636,0";"677,0"
